# MESSENGER FIPS field-of-view pixel to spherical coordinate mapping                  
# Created:                                                                            
#       X       Y         V_POLAR       V_AZIMUTH PIXEL_SOLID_ANG       PIXEL_EFF QUAL
#     [1]     [1]         Degrees         Degrees       Steradian             [1]  [1]
       19      33       5.258e+01       1.806e+02       4.562e-03       1.957e+00    0
       19      34       5.234e+01       1.851e+02       4.562e-03       1.319e+00    0
       19      35       5.240e+01       1.897e+02       3.685e-03       1.286e+00    0
       19      36       5.276e+01       1.942e+02       4.179e-03       1.591e+00    0
       19      37       5.341e+01       1.987e+02       4.010e-03       2.129e+00    0
       19      38       5.434e+01       2.030e+02       4.326e-03       2.057e+00    0
       19      39       5.556e+01       2.071e+02       3.917e-03       1.461e+00    0
       19      40       5.706e+01       2.110e+02       4.259e-03       1.141e+00    0
       19      41       5.882e+01       2.147e+02       4.359e-03       5.805e-01    0
       19      42       6.088e+01       2.181e+02       4.215e-03       3.176e-01    0
       19      43       6.322e+01       2.213e+02       4.317e-03       6.775e-01    0
       19      44       6.588e+01       2.243e+02       4.425e-03       5.852e-01    0
       19      45       6.889e+01       2.270e+02       5.108e-03       9.976e-01    0
       19      46       7.227e+01       2.296e+02       4.640e-03       4.538e-01    0
       20      21       7.475e+01       1.374e+02       4.784e-03       8.035e-01    0
       20      22       7.080e+01       1.396e+02       4.653e-03       1.195e+00    0
       20      23       6.728e+01       1.420e+02       3.724e-03       9.221e-01    0
       20      24       6.413e+01       1.447e+02       4.146e-03       1.109e+00    0
       20      25       6.132e+01       1.476e+02       4.281e-03       1.579e+00    0
       20      26       5.882e+01       1.507e+02       4.148e-03       1.465e+00    0
       20      27       5.659e+01       1.541e+02       4.041e-03       1.214e+00    0
       20      28       5.463e+01       1.578e+02       3.935e-03       1.522e+00    0
       20      29       5.293e+01       1.618e+02       4.081e-03       1.647e+00    0
       20      30       5.150e+01       1.660e+02       4.663e-03       1.173e+00    0
       20      31       5.034e+01       1.705e+02       4.144e-03       2.634e+00    0
